rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
66,Bratz,2007,PG,1h 50m,3.1,25K,['Sean McNamara'],"['Susan Estelle Jansen', 'Adam De La Peña', 'David Eilenberg']","['Comedy', 'Family', 'Music']","['Skyler Shaye', 'Janel Parrish', 'Logan Browning']"
67,Hercules in New York,1970,G,1h 32m,3.3,19K,['Arthur Allan Seidelman'],['Aubrey Wisberg'],"['Adventure', 'Comedy', 'Fantasy']","['Arnold Stang', 'Arnold Schwarzenegger', 'Deborah Loomis']"
68,Far Cry,2008,R,1h 35m,3.2,15K,['Uwe Boll'],"['Michael Roesch', 'Peter Scheerer', 'Masaji Takei']","['Action', 'Adventure', 'Sci-Fi']","['Til Schweiger', 'Emmanuelle Vaugier', 'Natalia Avelon']"
69,Mortal Kombat: Annihilation,1997,PG-13,1h 35m,3.6,57K,['John R. Leonetti'],"['Writers', 'Ed Boon', 'Lawrence Kasanoff', 'Joshua Wexler', '']","['Action', 'Adventure', 'Fantasy']","['Robin Shou', 'Talisa Soto', 'James Remar']"
70,Feardotcom,2002,R,1h 41m,3.4,22K,['William Malone'],"['Moshe Diamant', 'Josephine Coyle', 'Holly Payberg-Torroija']","['Crime', 'Horror', 'Thriller']","['Stephen Dorff', 'Natascha McElhone', 'Stephen Rea']"
71,Barb Wire,1996,R,1h 38m,3.5,31K,['David Hogan'],"['Writers', 'Chris Warner', 'Ilene Chaiken', 'Chuck Pfarrer', '']","['Action', 'Sci-Fi']","['Pamela Anderson', 'Amir AboulEla', 'Adriana Alexander']"
72,Smolensk,2016,,,1.2,40K,['Antoni Krauze'],"['Writers', 'Antoni Krauze', 'Tomasz Lysiak', 'Maciej Pawlicki', '']","['Drama', 'Thriller']","['Beata Fido', 'Maciej Póltorak', 'Aldona Struzik']"
73,3 Ninjas: High Noon at Mega Mountain,1998,PG,1h 33m,2.9,12K,['Sean McNamara'],"['Sean McNamara', 'Jeff Phillips']","['Action', 'Adventure', 'Comedy']","['Loni Anderson', 'Hulk Hogan', 'Jim Varney']"
74,Baaghi 3,2020,Not Rated,2h 23m,2.2,13K,['Ahmed Khan'],"['Writers', 'Sajid Nadiadwala', 'Farhad Samji', 'Sparsh Khetarpal', '']","['Action', 'Adventure', 'Thriller']","['Tiger Shroff', 'Riteish Deshmukh', 'Shraddha Kapoor']"
75,Batman & Robin,1997,PG-13,2h 5m,3.8,264K,['Joel Schumacher'],"['Bob Kane', 'Akiva Goldsman']","['Action', 'Sci-Fi']","['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell""]"
76,Fifty Shades of Black,2016,R,1h 32m,3.5,23K,['Michael Tiddes'],"['Marlon Wayans', 'Rick Alvarez']",['Comedy'],"['Marlon Wayans', 'Kali Hawk', 'Fred Willard']"
77,Captain America,1990,PG-13,1h 37m,3.2,15K,['Albert Pyun'],"['Writers', 'Joe Simon', 'Jack Kirby', 'Stephen Tolkin', '']","['Action', 'Adventure', 'Sci-Fi']","['Matt Salinger', 'Ronny Cox', 'Ned Beatty']"
78,Spy Kids 4: All the Time in the World,2011,PG,1h 29m,3.5,28K,['Robert Rodriguez'],['Robert Rodriguez'],"['Action', 'Adventure', 'Comedy']","['Jessica Alba', 'Jeremy Piven', 'Joel McHale']"
79,The NeverEnding Story III,1994,G,1h 35m,3.2,12K,['Peter MacDonald'],"['Jeff Lieberman', 'Karin Howard', 'Michael Ende']","['Adventure', 'Comedy', 'Family']","['Jason James Richter', 'Melody Kay', 'Jack Black']"
80,Crossroads,2002,PG-13,1h 33m,3.6,42K,['Tamra Davis'],['Shonda Rhimes'],"['Comedy', 'Drama', 'Romance']","['Britney Spears', 'Anson Mount', 'Zoe Saldana']"
81,Jaws 3-D,1983,PG,1h 39m,3.7,47K,['Joe Alves'],"['Writers', 'Peter Benchley', 'Richard Matheson', 'Carl Gottlieb', '']","['Adventure', 'Horror', 'Thriller']","['Dennis Quaid', 'Bess Armstrong', 'Simon MacCorkindale']"
82,Superman IV: The Quest for Peace,1987,PG,1h 30m,3.7,52K,['Sidney J. Furie'],"['Writers', 'Jerry Siegel', 'Joe Shuster', 'Christopher Reeve', '']","['Action', 'Adventure', 'Sci-Fi']","['Christopher Reeve', 'Gene Hackman', 'Margot Kidder']"
83,Spice World,1997,PG,1h 33m,3.6,37K,['Bob Spiers'],"['Writers', 'Spice Girls', 'Kim Fuller', 'Jamie Curtis', '']","['Comedy', 'Family', 'Music']","['Mel B', 'Emma Bunton', 'Melanie C']"
84,Dungeons & Dragons,2000,PG-13,1h 47m,3.6,36K,['Courtney Solomon'],"['Topper Lilien', 'Carroll Cartwright', 'E. Gary Gygax']","['Action', 'Adventure', 'Fantasy']","['Justin Whalin', 'Jeremy Irons', 'Zoe McLellan']"
85,Black Christmas,2019,PG-13,1h 32m,3.5,18K,['Sophia Takal'],"['Sophia Takal', 'April Wolfe', 'Roy Moore']","['Horror', 'Mystery', 'Thriller']","['Imogen Poots', 'Aleyse Shannon', 'Lily Donoghue']"
86,The Wicker Man,2006,PG-13,1h 42m,3.8,71K,['Neil LaBute'],"['Neil LaBute', 'Anthony Shaffer']","['Horror', 'Mystery', 'Thriller']","['Nicolas Cage', 'Ellen Burstyn', 'Leelee Sobieski']"
87,The Fog,2005,PG-13,1h 40m,3.7,39K,['Rupert Wainwright'],"['Cooper Layne', 'John Carpenter', 'Debra Hill']","['Horror', 'Mystery']","['Tom Welling', 'Maggie Grace', 'Selma Blair']"
88,Dragon Wars: D-War,2007,PG-13,1h 47m,3.5,25K,['Hyung-rae Shim'],['Hyung-rae Shim'],"['Action', 'Drama', 'Fantasy']","['Jason Behr', 'Amanda Brooks', 'Robert Forster']"
89,I'll Always Know What You Did Last Summer,2006,R,1h 32m,3.4,13K,['Sylvain White'],"['Lois Duncan', 'Michael D. Weiss']","['Horror', 'Mystery', 'Thriller']","['Brooke Nevin', 'David Paetkau', 'Torrey DeVitto']"
90,Mac and Me,1988,PG,1h 39m,3.4,14K,['Stewart Raffill'],"['Stewart Raffill', 'Steve Feke']","['Adventure', 'Comedy', 'Family']","['Christine Ebersole', 'Jonathan Ward', 'Tina Caspary']"
91,Bucky Larson: Born to Be a Star,2011,R,1h 37m,3.3,13K,['Tom Brady'],"['Adam Sandler', 'Allen Covert', 'Nick Swardson']",['Comedy'],"['Nick Swardson', 'Don Johnson', 'Christina Ricci']"
92,Goal! III,2009,PG-13,1h 36m,3.2,13K,['Andrew Morahan'],"['Mike Jefferies', 'Piers Ashworth']","['Drama', 'Romance', 'Sport']","['JJ Feild', 'Leo Gregory', 'Kuno Becker']"
93,Piranha 3DD,2012,R,1h 23m,3.8,45K,['John Gulager'],"['Writers', 'Patrick Melton', 'Marcus Dunstan', 'Joel Soisson', '']","['Comedy', 'Horror', 'Sci-Fi']","['Danielle Panabaker', 'Ving Rhames', 'David Hasselhoff']"
94,I Know Who Killed Me,2007,R,1h 45m,3.6,31K,['Chris Sivertson'],['Jeff Hammond'],"['Horror', 'Mystery', 'Thriller']","['Lindsay Lohan', 'Julia Ormond', 'Neal McDonough']"
95,The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,1h 33m,3.7,41K,['Robert Rodriguez'],"['Robert Rodriguez', 'Marcel Rodriguez', 'Racer Rodriguez']","['Action', 'Adventure', 'Comedy']","['Cayden Boyd', 'George Lopez', 'Kristin Davis']"
96,The Love Guru,2008,PG-13,1h 27m,3.8,54K,['Marco Schnabel'],"['Mike Myers', 'Graham Gordy']","['Comedy', 'Romance', 'Sport']","['Mike Myers', 'Jessica Alba', 'Romany Malco']"
97,The Hungover Games,2014,R,1h 25m,3.5,16K,['Josh Stolberg'],"['Writers', 'Kyle Barnett Anderson', 'David Bernstein', 'Jamie Kennedy', '']","['Adventure', 'Comedy', 'Fantasy']","['Ben Begley', 'Herbert Russell', 'Ross Nathan']"
98,In the Name of the King: A Dungeon Siege Tale,2007,PG-13,2h 7m,3.8,51K,['Uwe Boll'],"['Writers', 'Doug Taylor', 'Jason Rappaport', 'Dan Stroncak', '']","['Action', 'Adventure', 'Fantasy']","['Jason Statham', 'Ron Perlman', 'Ray Liotta']"
99,The Avengers,1998,PG-13,1h 29m,3.8,45K,['Jeremiah S. Chechik'],"['Sydney Newman', 'Don MacPherson']","['Action', 'Adventure', 'Sci-Fi']","['Ralph Fiennes', 'Uma Thurman', 'Sean Connery']"
100,The Flintstones in Viva Rock Vegas,2000,PG,1h 30m,3.7,25K,['Brian Levant'],"['Writers', 'William Hanna', 'Joseph Barbera', 'Deborah Kaplan', '']","['Comedy', 'Family', 'Romance']","['Mark Addy', 'Stephen Baldwin', 'Kristen Johnston']"
